,t
0,70.5
1,48.3
2,28.9
3,70.4
4,59.3
5,33.3
6,76.4
7,37.5
8,36.0
9,85.2
10,85.8
11,60.7
12,38.0
13,27.3
14,60.3
15,38.3
16,60.3
17,60.1
18,66.4
19,86.5
20,30.0
21,59.1
22,69.5
23,44.2
24,39.3
25,85.2
26,48.1
27,75.6
28,47.9
29,26.3
30,23.4
31,54.9
32,64.2
33,42.9
34,33.9
35,43.1
36,70.0
37,72.2
38,29.7
39,59.7
40,37.2
41,86.4
42,75.8
43,39.9
44,34.2
45,69.8
46,40.5
47,81.3
48,71.8
49,43.7
50,63.0
51,47.7
52,38.9
53,81.3
54,47.0
55,73.9
56,58.4
57,50.0
58,23.1
59,58.8
60,74.4
61,69.4
62,40.8
63,53.8
64,30.7
65,72.6
66,48.4
67,42.5
68,46.8
69,67.4
70,26.6
71,61.2
72,84.1
73,71.5
74,44.9
75,72.1
76,62.7
77,40.5
78,45.7
79,51.9
80,65.0
81,60.4
82,54.9
83,29.2
84,30.1
85,53.8
86,76.5
87,74.8
88,68.2
89,62.7
90,46.4
91,78.1
92,48.5
93,44.8
94,26.0
95,68.5
96,31.6
97,80.4
98,38.5
99,75.8
100,55.6
101,81.6
102,60.0
103,51.9
104,34.2
105,42.7
106,65.4
107,69.1
108,82.3
109,77.8
110,61.9
111,70.5
112,38.8
113,70.4
114,67.4
115,68.5
116,39.6
117,56.7
118,65.6
119,62.8
120,45.4
121,40.0
122,37.2
123,77.4
124,32.9
125,65.1
126,86.1
127,48.3
128,85.6
129,77.0
130,70.9
131,75.7
132,49.8
133,27.3
134,69.1
135,41.8
136,72.2
137,59.5
138,64.8
139,83.7
140,72.8
141,43.3
142,41.2
143,56.2
144,51.8
145,30.1
146,28.8
147,77.1
148,84.8
149,28.1
150,28.8
151,47.5
152,51.9
153,81.5
154,48.0
155,24.6
156,42.4
157,26.9
158,30.6
159,26.3
160,59.9
161,70.8
162,54.1
163,26.4
164,25.3
165,24.5
166,29.1
167,86.9
168,67.7
169,46.5
170,36.0
171,43.2
172,75.0
173,36.3
174,77.8
175,75.9
176,27.4
177,44.3
178,49.7
179,65.2
180,66.5
181,69.4
182,34.7
183,48.0
184,67.6
185,41.0
186,54.9
187,56.3
188,78.4
189,69.6
190,61.6
191,29.6
192,74.7
193,62.6
194,62.4
195,34.5
196,31.9
197,79.6
198,72.8
199,25.6
